subset,n_days,wape_hist_pct,wape_full_pct,delta_rel_pct,ci95_lo,ci95_hi,p_one_sided
all,74,25.487357974134788,24.859562965968028,2.4631623599584707,-0.3564321038348784,5.5761096553401375,0.0453
special_days,6,47.92588865861629,42.56882435884352,11.177809008262717,-20.247291855851948,28.270939523817365,0.2047
rain_hours,19,31.22175148098636,28.57278468633077,8.4843632051481,2.571150559486711,18.716306134874827,0.0003
