do_zone,pu_zone,support,confidence,lift,pu_name,do_name
140,262,0.0011267915631268067,0.08179633045191588,4.051164130625288,Yorkville East,Lenox Hill East
238,239,0.0024710793311667725,0.08813240422556612,3.995155335823445,Upper West Side South,Upper West Side North
262,140,0.001175464183227007,0.05963020190334211,3.944577346272615,Lenox Hill East,Yorkville East
239,238,0.0021051928583695123,0.10854624971227517,3.8987029032655798,Upper West Side North,Upper West Side South
239,143,0.001140005618269314,0.10180028110171828,3.6564050120253784,Lincoln Square West,Upper West Side South
141,263,0.0017711425647572883,0.09422107143051009,3.6064244768983285,Yorkville West,Lenox Hill West
236,237,0.0069586285790319375,0.14734625178117502,3.328748211113635,Upper East Side South,Upper East Side North
142,239,0.002611944220156975,0.09315642801188952,3.3258612905854545,Upper West Side South,Lincoln Square East
237,236,0.005994844375674669,0.14052622137176343,3.312778921340588,Upper East Side North,Upper East Side South
263,141,0.001484667971609883,0.06509055079803028,3.1712539671458684,Lenox Hill West,Yorkville West
263,140,0.0012175807952738784,0.06176673835904683,3.0093156634452023,Lenox Hill East,Yorkville West
140,229,0.0010586294871793563,0.06034848819758717,2.9889070741045973,Sutton Place/Turtle Bay North,Lenox Hill East
48,246,0.0012509475599966572,0.07096876899476107,2.9189952188835164,West Chelsea/Hudson Yards,Clinton East
239,142,0.002603245392350807,0.08055448551978478,2.893310523390051,Lincoln Square East,Upper West Side South
142,238,0.001568416510283341,0.0808694222485285,2.887191864141289,Upper West Side North,Lincoln Square East
236,262,0.0017528520675812698,0.12724346866365932,2.8745995474597072,Yorkville East,Upper East Side North
170,107,0.001678363571411152,0.08328143512470759,2.8040509478767603,Gramercy,Murray Hill
238,142,0.0019862663620869472,0.06146276696515402,2.7861863471560224,Lincoln Square East,Upper West Side North
238,238,0.0011534492612424825,0.05947321692808523,2.6959974828406956,Upper West Side North,Upper West Side North
68,48,0.0017925197427677538,0.07068177108794885,2.694697084878723,Clinton East,East Chelsea
229,141,0.0012725033063198592,0.05578886504223616,2.68999306178648,Lenox Hill West,Sutton Place/Turtle Bay North
79,249,0.0012675289033221972,0.05444848553917567,2.6199302502191584,West Village,East Village
107,79,0.0011747499099760605,0.05065815672116288,2.5980898569868836,East Village,Gramercy
236,236,0.004548032886364942,0.10661125396160975,2.408490318683693,Upper East Side North,Upper East Side North
141,229,0.00108084848723558,0.06161510988052166,2.358392205121312,Sutton Place/Turtle Bay North,Lenox Hill West
141,141,0.001383700345636826,0.06066394598602678,2.3219852666460032,Lenox Hill West,Lenox Hill West
237,237,0.004647622985354031,0.09841160780551675,2.3199648917540783,Upper East Side South,Upper East Side South
236,263,0.0019251194698541485,0.10241231998523513,2.3136308038098505,Yorkville West,Upper East Side North
186,230,0.0016979550662942515,0.0502237625151948,2.2740675792123453,Times Sq/Theatre District,Penn Station/Madison Sq West
236,141,0.002269883862230567,0.09951584708865177,2.248195620651206,Lenox Hill West,Upper East Side North
239,239,0.0016646393210893974,0.059370277467680935,2.132428100873897,Upper West Side South,Upper West Side South
48,68,0.0014006388255878393,0.051408957102087594,2.1144864440280644,East Chelsea,Clinton East
230,100,0.0010252882322155398,0.06690236968086877,2.1112777403796645,Garment District,Times Sq/Theatre District
161,43,0.0012589066047929164,0.0790068984949466,2.099550388689645,Central Park,Midtown Center
48,48,0.0012781154532915803,0.05039803006801818,2.0729063064423814,Clinton East,Clinton East
170,234,0.0016720626609474467,0.06155386268190253,2.07249270789113,Union Sq,Murray Hill
230,138,0.0020576681774226186,0.0643962739544048,2.03219139190228,LaGuardia Airport,Times Sq/Theatre District
236,140,0.001757290765640722,0.08914572188015209,2.013920670867733,Lenox Hill East,Upper East Side North
237,262,0.0011692653117991512,0.0848795952682533,2.0009599013746064,Yorkville East,Upper East Side South
230,186,0.0021166977596615406,0.06338647369197027,2.000324526401443,Penn Station/Madison Sq West,Times Sq/Theatre District
162,140,0.0011412045769405453,0.05789224402326249,1.9980257274702455,Lenox Hill East,Midtown East
141,140,0.0010225586880065664,0.05187344871406646,1.9855184440511582,Lenox Hill East,Lenox Hill West
162,237,0.002662223955071804,0.0563715560798701,1.9455424685188232,Upper East Side South,Midtown East
161,100,0.0011083735171559762,0.07232387192137907,1.9219538584188816,Garment District,Midtown Center
237,141,0.0018381822113103946,0.08058925961176058,1.8998191079371698,Lenox Hill West,Upper East Side South
237,140,0.0014921423309858573,0.07569498903908917,1.7844410935693737,Lenox Hill East,Upper East Side South
236,238,0.0015132389016477366,0.07802439906612739,1.76267516597779,Upper West Side North,Upper East Side North
237,229,0.0012984212214256262,0.0740181137080168,1.7449102700955363,Sutton Place/Turtle Bay North,Upper East Side South
162,141,0.0011450310407849005,0.05020024850722315,1.7325531206309457,Lenox Hill West,Midtown East
161,164,0.0014566072367512772,0.06362599060430205,1.6908140409102432,Midtown South,Midtown Center
237,263,0.0013200024775077905,0.07022136455670092,1.6554053333277403,Yorkville West,Upper East Side South
237,161,0.0032712184307804423,0.06958789600181901,1.6404718835027916,Midtown Center,Upper East Side South
161,237,0.002897398422945885,0.06135128390444367,1.6303653784918841,Upper East Side South,Midtown Center
237,43,0.00104671642974393,0.06569019369897972,1.548587067242435,Central Park,Upper East Side South
236,239,0.0018818038991360456,0.06711557165329687,1.5162302154151162,Upper West Side South,Upper East Side North
161,186,0.0018617277188326612,0.05575115981143563,1.4815461875077283,Penn Station/Madison Sq West,Midtown Center
161,163,0.0015436465343308806,0.053788444444444444,1.4293884659650067,Midtown North,Midtown Center
237,162,0.002112871295817185,0.06056134737408583,1.4276791410913827,Midtown East,Upper East Side South
161,236,0.0022686593938003735,0.053180051426179514,1.4132208676627407,Upper East Side North,Midtown Center
237,142,0.0019139461954286309,0.05922490117079455,1.3961736272552394,Lincoln Square East,Upper East Side South
237,163,0.001698898927375859,0.05919822222222222,1.3955446951057005,Midtown North,Upper East Side South
236,163,0.0017270617012703146,0.060179555555555556,1.3595363674311152,Midtown North,Upper East Side North
236,161,0.002732885987397567,0.058136070672137434,1.3133713203539903,Midtown Center,Upper East Side North
236,142,0.0017968564017913566,0.055601689884688735,1.2561162805377795,Lincoln Square East,Upper East Side North
236,162,0.0017714997013827615,0.05077659439120586,1.1471109424431485,Midtown East,Upper East Side North
